,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,11000128,PARKDALE INVESTMENTS S.A.,CHE,Switzerland,ACTIVE,Panama Papers,The Panama Papers  data is current through 2015,,,,,,,,,,
1,11000150,ICP SERVICES,CHE,Switzerland,ACTIVE,Panama Papers,The Panama Papers  data is current through 2015,,,,,,,,,,
2,11000269,"ZOLTY, LIC. ANDRE",CHE,Switzerland,ACTIVE,Panama Papers,The Panama Papers  data is current through 2015,,,,,,,,,,
3,11000382,HELENE MATHIEU LEGAL CONSULTANTS,ARE,United Arab Emirates,ACTIVE,Panama Papers,The Panama Papers  data is current through 2015,,,,,,,,,,
4,11000402,(GENEVA CLIENT) SEMELY CONSEIL & GESTION S.A.,CHE,Switzerland,ACTIVE,Panama Papers,The Panama Papers  data is current through 2015,,,,,,,,,,
5,11000795,OCTOPUS MANAGEMENT LIMITED,GBR,United Kingdom,ACTIVE,Panama Papers,The Panama Papers  data is current through 2015,,,,,,,,,,
6,11000831,STM FIDUCIAIRE LIMITED,JEY;GBR,Jersey;United Kingdom,ACTIVE,Panama Papers,The Panama Papers  data is current through 2015,,,,,,,,,,
7,11001520,EDUARDO RAMON ALEJANDRO FONSECA WARD,PAN,Panama,ACTIVE,Panama Papers,The Panama Papers  data is current through 2015,,,,,,,,,,
8,11001975,NAUTILUS FIDUCIARY  ASIA  LIMITED,HKG,Hong Kong,ACTIVE,Panama Papers,The Panama Papers  data is current through 2015,,,,,,,,,,
9,11001994,HAWKSFORD INTERNATIONAL,JEY;GBR,Jersey;United Kingdom,ACTIVE,Panama Papers,The Panama Papers  data is current through 2015,,,,,,,,,,
10,11002442,CENTURION MANAGEMENT SERVICES LTD.,,,,Panama Papers,The Panama Papers  data is current through 2015,,,,,,,,,,
11,11002790,DAVID C. ALEXANDER III,,,,Panama Papers,The Panama Papers  data is current through 2015,,,,,,,,,,
12,11002845,ORION TRUST (JERSEY) LIMITED,JEY;GBR,Jersey;United Kingdom,SUSPENDED,Panama Papers,The Panama Papers  data is current through 2015,,,,,,,,,,
13,11003170,CHERN HORNG JYN,BRA,Brazil,ACTIVE,Panama Papers,The Panama Papers  data is current through 2015,,,,,,,,,,
14,11003237,NEW WORLD TRUSTEES (JERSEY) LIMITED,JEY;GBR,Jersey;United Kingdom,SUSPENDED,Panama Papers,The Panama Papers  data is current through 2015,,,,,,,,,,
15,11003955,ORION TRUST (JSY) LIMITED,,,,Panama Papers,The Panama Papers  data is current through 2015,,,,,,,,,,
16,11005398,FIDUCIAIRE ROMAIN ZIMMER,LUX,Luxembourg,ACTIVE,Panama Papers,The Panama Papers  data is current through 2015,,,,,,,,,,
17,11005424,CREDIT SUISSE  CHANNEL ISLANDS    LIMITED,GGY;GBR,Guernsey;United Kingdom,ACTIVE,Panama Papers,The Panama Papers  data is current through 2015,,,,,,,,,,
18,11006258,ANDREAS SCHULMEYER,HKG,Hong Kong,ACTIVE,Panama Papers,The Panama Papers  data is current through 2015,,,,,,,,,,
19,11007112,INCO TRUST GROUP,NLD,Netherlands,INACTIVE,Panama Papers,The Panama Papers  data is current through 2015,,,,,,,,,,
20,11007207,CLEARWATER INVESTMENTS,IMN,Isle of Man,ACTIVE,Panama Papers,The Panama Papers  data is current through 2015,,,,,,,,,,
21,11009521,INTERNATIONAL MANAGEMENT LIMITED (IOM),IMN,Isle of Man,UNRECOVERABLE ACCOUNTS,Panama Papers,The Panama Papers  data is current through 2015,,,,,,,,,,
22,11009522,POPULAR CORPORATE SERVICE LIMITED #1,HKG,Hong Kong,ACTIVE,Panama Papers,The Panama Papers  data is current through 2015,,,,,,,,,,
23,11010375,JESSE H.Y. KWOK & CO.,HKG,Hong Kong,ACTIVE,Panama Papers,The Panama Papers  data is current through 2015,,,,,,,,,,
24,11010460,BOND & COMPANY,CAN,Canada,ACTIVE,Panama Papers,The Panama Papers  data is current through 2015,,,,,,,,,,
25,11010583,"VAN VUUREN, ANTHONY JANSE",MCO,Monaco,ACTIVE,Panama Papers,The Panama Papers  data is current through 2015,,,,,,,,,,
26,11010643,LEGAL CONSULTING SERVICES LIMITED,RUS,Russia,ACTIVE,Panama Papers,The Panama Papers  data is current through 2015,,,,,,,,,,
27,11010768,"NOOR, ISHAQUE",ARE,United Arab Emirates,SUSPENDED,Panama Papers,The Panama Papers  data is current through 2015,,,,,,,,,,
28,11011526,CHARTERHOUSE LOMBARD LIMITED ISLE OF MAN,IMN,Isle of Man,ACTIVE,Panama Papers,The Panama Papers  data is current through 2015,,,,,,,,,,
29,11011539,MOSSACK FONSECA & CO. (U.K.) LIMITED,GBR,United Kingdom,ACTIVE,Panama Papers,The Panama Papers  data is current through 2015,,,,,,,,,,
